,starNumber,B,V,V_corrected,B-V,B-V_corrected,spectral type
256,257.0,18.484,17.224,16.264,2.22,1.92,M
257,258.0,18.345,17.591,16.631,1.714,1.414,K
258,259.0,16.268,15.562,14.602,1.666,1.366,K
259,260.0,19.616,17.955,16.995,2.621,2.321,M
260,261.0,17.543,16.997,16.037,1.506,1.206,K
261,262.0,17.117,16.315,15.355,1.762,1.462,K
262,263.0,18.395,17.226,16.266,2.129,1.829,M
263,264.0,18.53,17.574,16.614,1.916,1.616,M
264,265.0,18.295,17.349,16.389,1.906,1.606,M
265,266.0,17.413,16.704,15.744,1.669,1.369,K
266,267.0,17.487,16.638,15.678,1.809,1.509,K
267,268.0,17.978,17.195,16.235,1.743,1.443,K
268,269.0,17.549,16.562,15.602,1.947,1.647,M
269,270.0,19.042,17.78,16.82,2.222,1.922,M
270,271.0,15.451,14.891,13.931,1.52,1.22,K
271,272.0,18.385,17.391,16.431,1.954,1.654,M
272,273.0,16.042,15.429,14.469,1.573,1.273,K
273,274.0,14.541,13.884,12.924,1.617,1.317,K
274,275.0,19.378,18.295,17.335,2.043,1.743,M
275,276.0,17.793,16.992,16.032,1.761,1.461,K
276,277.0,18.573,17.849,16.889,1.684,1.384,K
277,278.0,17.232,16.234,15.274,1.958,1.658,M
278,279.0,14.144,12.298,11.338,2.806,2.506,M
279,280.0,17.477,16.598,15.638,1.839,1.539,K
280,281.0,16.928,16.003,15.043,1.885,1.585,K
281,282.0,15.416,15.453,14.493,0.923,0.623,F
282,283.0,13.875,12.706,11.746,2.129,1.829,M
283,284.0,18.44,17.262,16.302,2.138,1.838,M
284,285.0,15.108,13.955,12.995,2.113,1.813,M
285,286.0,18.378,17.406,16.446,1.932,1.632,M
286,287.0,16.622,15.952,14.992,1.63,1.33,K
287,288.0,16.789,16.058,15.098,1.691,1.391,K
288,289.0,17.679,16.894,15.934,1.745,1.445,K
289,290.0,14.955,13.819,12.859,2.096,1.796,M
290,291.0,18.441,17.262,16.302,2.139,1.839,M
291,292.0,18.343,17.488,16.528,1.815,1.515,K
292,293.0,15.834,15.255,14.295,1.539,1.239,K
293,294.0,18.104,17.382,16.422,1.682,1.382,K
294,295.0,17.966,16.585,15.625,2.341,2.041,M
295,296.0,17.068,16.15,15.19,1.878,1.578,K
296,297.0,17.031,16.333,15.373,1.658,1.358,K
297,298.0,18.325,17.619,16.659,1.666,1.366,K
298,299.0,15.934,15.333,14.373,1.561,1.261,K
299,300.0,15.365,14.81,13.85,1.515,1.215,K
300,301.0,16.538,15.413,14.453,2.085,1.785,M
301,302.0,17.199,16.499,15.539,1.66,1.36,K
302,303.0,17.445,16.412,15.452,1.993,1.693,M
303,304.0,17.314,16.598,15.638,1.676,1.376,K
304,305.0,18.599,17.581,16.621,1.978,1.678,M
305,306.0,17.037,16.034,15.074,1.963,1.663,M
306,307.0,17.113,16.422,15.462,1.651,1.351,K
307,308.0,17.936,17.08,16.12,1.816,1.516,K
308,309.0,,,,,,[UNK]
309,310.0,18.079,16.856,15.896,2.183,1.883,M
310,311.0,16.591,15.929,14.969,1.622,1.322,K
311,312.0,14.818,13.691,12.731,2.087,1.787,M
312,313.0,16.803,16.218,15.258,1.545,1.245,K
313,314.0,16.47,15.673,14.713,1.757,1.457,K
314,315.0,,,,,,[UNK]
315,316.0,19.046,17.605,16.645,2.401,2.101,M
316,317.0,18.085,17.587,16.627,1.458,1.158,K
317,318.0,15.767,15.173,14.213,1.554,1.254,K
318,319.0,18.363,17.413,16.453,1.91,1.61,M
319,320.0,16.132,15.51,14.55,1.582,1.282,K
320,321.0,17.555,16.848,15.888,1.667,1.367,K
321,322.0,16.56,15.586,14.626,1.934,1.634,M
322,323.0,17.805,17.191,16.231,1.574,1.274,K
323,324.0,16.895,16.161,15.201,1.694,1.394,K
324,325.0,15.167,14.61,13.65,1.517,1.217,K
325,326.0,13.912,12.747,11.787,2.125,1.825,M
326,327.0,17.957,16.795,15.835,2.122,1.822,M
327,328.0,17.499,16.506,15.546,1.953,1.653,M
328,329.0,16.074,15.405,14.445,1.629,1.329,K
329,330.0,18.05,17.274,16.314,1.736,1.436,K
330,331.0,18.167,17.339,16.379,1.788,1.488,K
331,332.0,16.216,15.335,14.375,1.841,1.541,K
332,333.0,16.221,15.545,14.585,1.636,1.336,K
333,334.0,16.818,16.419,15.459,1.359,1.059,K
334,335.0,17.127,16.341,15.381,1.746,1.446,K
335,336.0,19.183,17.246,16.286,2.897,2.597,M
336,337.0,17.749,17.117,16.157,1.592,1.292,K
337,338.0,19.129,17.751,16.791,2.338,2.038,M
338,339.0,15.914,15.174,14.214,1.7,1.4,K
339,340.0,15.941,14.347,13.387,2.554,2.254,M
340,341.0,15.372,14.885,13.925,1.447,1.147,K
341,342.0,15.003,13.846,12.886,2.117,1.817,M
342,343.0,16.108,15.448,14.488,1.62,1.32,K
343,344.0,16.838,15.758,14.798,2.04,1.74,M
344,345.0,18.362,17.511,16.551,1.811,1.511,K
345,346.0,15.109,13.944,12.984,2.125,1.825,M
346,347.0,17.282,16.524,15.564,1.718,1.418,K
347,348.0,14.665,14.025,13.065,1.6,1.3,K
348,349.0,18.961,17.855,16.895,2.066,1.766,M
349,350.0,16.668,16.002,15.042,1.626,1.326,K
350,351.0,19.265,18.004,17.044,2.221,1.921,M
351,352.0,17.338,16.593,15.633,1.705,1.405,K
352,353.0,18.487,17.824,16.864,1.623,1.323,K
353,354.0,18.587,17.581,16.621,1.966,1.666,M
354,355.0,14.969,14.434,13.474,1.495,1.195,K
355,356.0,16.568,15.909,14.949,1.619,1.319,K
356,357.0,18.371,17.326,16.366,2.005,1.705,M
357,358.0,18.169,17.306,16.346,1.823,1.523,K
358,359.0,18.342,17.103,16.143,2.199,1.899,M
359,360.0,16.069,15.42,14.46,1.609,1.309,K
360,361.0,20.103,18.229,17.269,2.834,2.534,M
361,362.0,18.233,17.321,16.361,1.872,1.572,K
362,363.0,18.607,17.783,16.823,1.784,1.484,K
363,364.0,18.917,17.988,17.028,1.889,1.589,K
364,365.0,16.929,16.199,15.239,1.69,1.39,K
365,366.0,18.628,17.501,16.541,2.087,1.787,M
366,367.0,16.761,16.096,15.136,1.625,1.325,K
367,368.0,17.979,17.178,16.218,1.761,1.461,K
368,369.0,19.131,18.257,17.297,1.834,1.534,K
369,370.0,15.334,14.758,13.798,1.536,1.236,K
370,371.0,17.593,16.82,15.86,1.733,1.433,K
371,372.0,18.9,17.897,16.937,1.963,1.663,M
372,373.0,16.968,15.954,14.994,1.974,1.674,M
373,374.0,17.52,16.796,15.836,1.684,1.384,K
374,375.0,15.478,14.61,13.65,1.828,1.528,K
375,376.0,,,,,,[UNK]
376,377.0,16.052,15.427,14.467,1.585,1.285,K
377,378.0,18.219,17.47,16.51,1.709,1.409,K
378,379.0,16.154,15.518,14.558,1.596,1.296,K
379,380.0,14.68,14.066,13.106,1.574,1.274,K
380,381.0,16.157,15.499,14.539,1.618,1.318,K
381,382.0,14.472,13.107,12.147,2.325,2.025,M
382,383.0,15.133,14.514,13.554,1.579,1.279,K
383,384.0,18.788,17.736,16.776,2.012,1.712,M
384,385.0,16.979,16.293,15.333,1.646,1.346,K
385,386.0,,,,,,[UNK]
386,387.0,15.356,14.809,13.849,1.507,1.207,K
387,388.0,17.108,16.335,15.375,1.733,1.433,K
388,389.0,18.961,17.979,17.019,1.942,1.642,M
389,390.0,17.719,16.903,15.943,1.776,1.476,K
390,391.0,19.05,18.06,17.1,1.95,1.65,M
391,392.0,18.686,17.77,16.81,1.876,1.576,K
392,393.0,15.206,14.396,13.436,1.77,1.47,K
393,394.0,18.234,17.355,16.395,1.839,1.539,K
394,395.0,15.052,13.9,12.94,2.112,1.812,M
395,396.0,17.168,16.357,15.397,1.771,1.471,K
396,397.0,16.847,16.153,15.193,1.654,1.354,K
397,398.0,17.669,16.625,15.665,2.004,1.704,M
398,399.0,18.049,17.215,16.255,1.794,1.494,K
399,400.0,16.822,16.123,15.163,1.659,1.359,K
400,401.0,17.528,16.652,15.692,1.836,1.536,K
401,402.0,18.741,17.731,16.771,1.97,1.67,M
402,403.0,17.491,16.755,15.795,1.696,1.396,K
403,404.0,15.196,14.676,13.716,1.48,1.18,K
404,405.0,18.115,17.195,16.235,1.88,1.58,K
405,406.0,15.46,14.336,13.376,2.084,1.784,M
406,407.0,17.821,16.928,15.968,1.853,1.553,K
407,408.0,16.275,15.64,14.68,1.595,1.295,K
408,409.0,16.515,15.89,14.93,1.585,1.285,K
409,410.0,17.249,16.162,15.202,2.047,1.747,M
410,411.0,18.295,17.732,16.772,1.523,1.223,K
411,412.0,13.877,13.337,12.377,1.5,1.2,K
412,413.0,15.857,15.3,14.34,1.517,1.217,K
413,414.0,16.974,16.27,15.31,1.664,1.364,K
414,415.0,19.527,17.661,16.701,2.826,2.526,M
415,416.0,17.994,17.122,16.162,1.832,1.532,K
416,417.0,16.961,16.274,15.314,1.647,1.347,K
417,418.0,19.282,17.762,16.802,2.48,2.18,M
418,419.0,15.276,14.72,13.76,1.516,1.216,K
419,420.0,17.071,15.929,14.969,2.102,1.802,M
420,421.0,15.027,14.329,13.369,1.658,1.358,K
421,422.0,15.006,14.518,13.558,1.448,1.148,K
422,423.0,16.913,16.137,15.177,1.736,1.436,K
423,424.0,16.331,15.638,14.678,1.653,1.353,K
424,425.0,19.061,18.739,17.779,1.282,0.982,G
425,426.0,17.643,17.236,16.276,1.367,1.067,K
426,427.0,17.222,16.631,15.671,1.551,1.251,K
427,428.0,17.556,17.144,16.184,1.372,1.072,K
428,429.0,18.017,17.729,16.769,1.248,0.948,G
429,430.0,16.571,15.963,15.003,1.568,1.268,K
430,431.0,17.233,16.831,15.871,1.362,1.062,K
431,432.0,15.978,15.336,14.376,1.602,1.302,K
432,433.0,17.572,17.083,16.123,1.449,1.149,K
433,434.0,16.887,16.224,15.264,1.623,1.323,K
434,435.0,19.533,18.894,17.934,1.599,1.299,K
435,436.0,20.734,20.158,19.198,1.536,1.236,K
436,437.0,17.344,16.839,15.879,1.465,1.165,K
437,438.0,18.243,17.491,16.531,1.712,1.412,K
438,439.0,17.014,16.72,15.76,1.254,0.954,G
439,440.0,16.576,15.884,14.924,1.652,1.352,K
440,441.0,18.017,17.763,16.803,1.214,0.914,G
441,442.0,20.062,19.572,18.612,1.45,1.15,K
442,443.0,17.214,16.349,15.389,1.825,1.525,K
443,444.0,17.418,17.102,16.142,1.276,0.976,G
444,445.0,16.599,15.892,14.932,1.667,1.367,K
445,446.0,15.968,15.219,14.259,1.709,1.409,K
446,447.0,20.591,19.958,18.998,1.593,1.293,K
447,448.0,17.318,16.829,15.869,1.449,1.149,K
448,449.0,16.031,15.711,14.751,1.28,0.98,G
449,450.0,19.737,19.261,18.301,1.436,1.136,K
450,451.0,16.513,16.038,15.078,1.435,1.135,K
451,452.0,15.689,15.372,14.412,1.277,0.977,G
452,453.0,16.865,16.319,15.359,1.506,1.206,K
453,454.0,16.773,16.473,15.513,1.26,0.96,G
454,455.0,15.842,15.217,14.257,1.585,1.285,K
455,456.0,16.907,16.562,15.602,1.305,1.005,K
456,457.0,17.303,16.904,15.944,1.359,1.059,K
457,458.0,18.079,17.738,16.778,1.301,1.001,K
458,459.0,16.609,16.142,15.182,1.427,1.127,K
459,460.0,16.541,16.082,15.122,1.419,1.119,K
460,461.0,16.312,15.392,14.432,1.88,1.58,K
461,462.0,17.723,16.603,15.643,2.08,1.78,M
462,463.0,15.814,15.302,14.342,1.472,1.172,K
463,464.0,17.371,16.823,15.863,1.508,1.208,K
464,465.0,16.285,15.928,14.968,1.317,1.017,K
465,466.0,17.664,17.266,16.306,1.358,1.058,K
466,467.0,18.695,18.104,17.144,1.551,1.251,K
467,468.0,18.913,18.379,17.419,1.494,1.194,K
468,469.0,17.371,16.432,15.472,1.899,1.599,K
469,470.0,18.869,18.095,17.135,1.734,1.434,K
470,471.0,18.832,18.283,17.323,1.509,1.209,K
471,472.0,18.079,17.492,16.532,1.547,1.247,K
472,473.0,16.641,15.937,14.977,1.664,1.364,K
473,474.0,18.079,17.374,16.414,1.665,1.365,K
474,475.0,17.371,16.881,15.921,1.45,1.15,K
475,476.0,16.858,16.194,15.234,1.624,1.324,K
476,477.0,19.519,19.028,18.068,1.451,1.151,K
477,478.0,19.718,18.877,17.917,1.801,1.501,K
478,479.0,18.497,17.828,16.868,1.629,1.329,K
479,480.0,16.281,15.936,14.976,1.305,1.005,K
480,481.0,17.834,17.492,16.532,1.302,1.002,K
481,482.0,17.723,16.948,15.988,1.735,1.435,K
482,483.0,17.105,16.803,15.843,1.262,0.962,G
483,484.0,17.942,17.291,16.331,1.611,1.311,K
484,485.0,16.764,15.849,14.889,1.875,1.575,K
485,486.0,17.105,16.302,15.342,1.763,1.463,K
486,487.0,18.421,17.391,16.431,1.99,1.69,M
487,488.0,20.102,19.838,18.878,1.224,0.924,G
488,489.0,19.649,19.411,18.451,1.198,0.898,G
489,490.0,18.746,18.029,17.069,1.677,1.377,K
490,491.0,17.621,16.845,15.885,1.736,1.436,K
491,492.0,,,,,,[UNK]
492,493.0,18.046,17.492,16.532,1.514,1.214,K
493,494.0,16.546,16.074,15.114,1.432,1.132,K
494,495.0,16.435,15.829,14.869,1.566,1.266,K
495,496.0,16.183,15.683,14.723,1.46,1.16,K
496,497.0,16.821,16.339,15.379,1.442,1.142,K
497,498.0,14.469,13.762,12.802,1.667,1.367,K
498,499.0,16.546,16.042,15.082,1.464,1.164,K
499,500.0,15.528,14.804,13.844,1.684,1.384,K
500,501.0,16.572,15.968,15.008,1.564,1.264,K
501,502.0,14.896,14.211,13.251,1.645,1.345,K
502,503.0,18.374,17.964,17.004,1.37,1.07,K
503,504.0,19.342,18.774,17.814,1.528,1.228,K
504,505.0,15.631,15.049,14.089,1.542,1.242,K
505,506.0,15.528,14.893,13.933,1.595,1.295,K
506,,,,,,,[UNK]
507,,,,Max,3.148,,[UNK]
508,,,,Min,0.336,,[UNK]
